x,y,label
7.262068517511871,-3.17867297899483,1
2.4659625365511584,-7.730529575188219,1
-3.3820395029470163,8.493872365571256,-1
-8.728832994279527,7.5467870676196185,1
-3.780353565686756,-4.841167445696888,-1
-3.496333559465059,3.19968092068358,1
4.5921235667612805,6.344444004024318,-1
2.751149427104263,1.104016231989247,1
7.744254851526531,0.5930115671201293,-1
-0.5557014967610137,-5.162954181990966,-1
-7.608115081233966,-8.137944643882015,1
4.264895744459899,7.944315159066534,-1
5.215700972337949,8.008361143266608,-1
1.2255439513899251,2.6620291454653593,1
5.419343599091221,-3.219404179025986,-1
-0.12408807271218514,-3.015808507746782,-1
0.4546565876398816,4.519113577404788,-1
-1.4491796328290079,7.942205199051543,1
-9.491617465118097,7.741728485302346,-1
-7.842171460133911,5.597510917152476,1
